index,room_id,host_id,room_type,country,city,neighborhood,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,deleted,minstay,last_modified,latitude,longitude,survey_id,location,coworker_hosted,extra_host_languages,name,property_type,currency,rate_type
0,7556928,39610649,Private room,,,,"Buenos Aires, Ciudad Autonoma de Buenos Aires, Argentina",1,,1,1.0,2.0,121.0,0,,2018-02-08T16:52:22Z,-34.557034,-58.479179,1,0101000020E61000000AF7CABC553D4DC04A61DEE34C4741C0,,,"Habitación en ""Casa Núñez""",Apartment,ARS,nightly
1,769573,4059836,Private room,,,,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",0,,1,1.0,,121.0,0,,2018-02-08T16:52:22Z,-34.636664,-58.407044,1,0101000020E61000003A048E041A344DC03145B9347E5141C0,,,Alquilo habitación por 3 meses,Apartment,ARS,nightly
2,9032306,29003311,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,1.0,141.0,0,,2018-02-08T16:52:27Z,-34.601543,-58.431294,1,0101000020E6100000037B4CA434374DC0A1116C5CFF4C41C0,,,Habitacion privada en Villa Crespo,House,ARS,nightly
3,16828729,54497897,Private room,,,,"Buenos Aires, CABA, Argentina",5,4.5,2,1.0,1.0,262.0,0,,2018-02-08T17:32:25Z,-34.584165,-58.425652,1,0101000020E61000000EBDC5C37B364DC0E23B31EBC54A41C0,,,Cuarto en en el corazón de Palermo,Apartment,ARS,nightly
4,2671579,13676129,Private room,,,,"Lanús Este, Buenos Aires Province, Argentina",0,,3,3.0,1.0,141.0,0,,2018-02-08T16:52:27Z,-34.700462,-58.38109,1,0101000020E6100000946A9F8EC7304DC09E0B23BDA85941C0,,,alquilo habitacion amplia lanus centtro,Apartment,ARS,nightly
5,16097606,101833835,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,1.5,303.0,0,,2018-02-08T17:35:20Z,-34.57272,-58.432907,1,0101000020E6100000D09A1F7F69374DC0EFE192E34E4941C0,,,Las Cañitas - Great room available to share,Apartment,ARS,nightly
6,21093983,14751990,Private room,,,,"Balvanera, Buenos Aires, Argentina",9,4.5,1,1.0,1.0,182.0,0,,2018-02-08T16:52:39Z,-34.604513,-58.405764,1,0101000020E610000073F22213F0334DC0E08096AE604D41C0,,,Habitación individual en once,Dorm,ARS,nightly
7,21699528,125151855,Private room,,,,"Boedo, Buenos Aires, Argentina",2,,1,1.0,1.0,182.0,0,,2018-02-08T16:52:39Z,-34.625684,-58.415527,1,0101000020E610000070CD1DFD2F354DC0B3D0CE69165041C0,,,Habitación privada en departamento para chica ,Apartment,ARS,nightly
8,14567784,90237853,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2,,1,1.0,2.0,182.0,0,,2018-02-08T16:52:39Z,-34.636358,-58.522135,1,0101000020E6100000698CD651D5424DC02446CF2D745141C0,,,haremos lo posible para que conozcan este barrio,House,ARS,nightly
9,21780860,158704595,Private room,,,,"Almagro, Buenos Aires, Argentina",0,,1,1.0,1.0,182.0,0,,2018-02-08T16:52:39Z,-34.60451,-58.414378,1,0101000020E610000048179B560A354DC06F0D6C95604D41C0,,,Habitacion para pareja,Apartment,ARS,nightly
10,21077670,151910682,Private room,,,,"Buenos Aires, CABA, Argentina",0,,1,0.0,1.0,182.0,0,,2018-02-08T16:52:39Z,-34.56689,-58.454285,1,0101000020E61000001C08C902263A4DC0F836FDD98F4841C0,,,Hogar Ananda,Apartment,ARS,nightly
11,16249980,51933194,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,1.0,182.0,0,,2018-02-08T16:52:39Z,-34.615642,-58.405881,1,0101000020E6100000AD889AE8F3334DC0A305685BCD4E41C0,,,habitacion disponible en zona con mucha movilidad,House,ARS,nightly
12,16204061,105840273,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,1.5,162.0,0,,2018-02-08T16:52:39Z,-34.624372,-58.410246,1,0101000020E61000004CA8E0F082344DC0E144F46BEB4F41C0,,,Single room in a bohemian &amp; artistic shared house,House,ARS,nightly
13,21213425,24475454,Private room,,,,"La Boca, Buenos Aires, Argentina",1,,1,1.0,2.0,182.0,0,,2018-02-08T16:52:39Z,-34.636195,-58.364098,1,0101000020E6100000FE4465C39A2E4DC07A7077D66E5141C0,,,Habitacion en casa antigua,House,ARS,nightly
14,13710575,79905058,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,1.0,182.0,0,,2018-02-08T16:52:39Z,-34.617855,-58.382056,1,0101000020E6100000CB9E0436E7304DC0C55565DF154F41C0,,,Habitacion individual para mujer,Apartment,ARS,nightly
15,19434256,136246213,Private room,,,,"Buenos Aires, Buenos Aires, Argentina",0,,1,1.0,1.0,182.0,0,,2018-02-08T16:52:39Z,-34.604144,-58.425139,1,0101000020E610000088A06AF46A364DC08D093197544D41C0,,,En palestina!,Apartment,ARS,nightly
16,12001507,60492921,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,1.0,182.0,0,,2018-02-08T16:52:39Z,-34.559542,-58.463091,1,0101000020E61000003509DE90463B4DC0855E7F129F4741C0,,,Beautiful bedroom in Belgrano Town,House,ARS,nightly
17,16813429,10325671,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",5,4.0,1,1.0,1.0,182.0,0,,2018-02-08T16:52:39Z,-34.620245,-58.370771,1,0101000020E610000011A7936C752F4DC0F6402B30644F41C0,,,Cozy attic room in San Telmo,Loft,ARS,nightly
18,14439256,88881663,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",7,5.0,1,1.0,1.0,182.0,0,,2018-02-08T16:52:39Z,-34.6138,-58.381125,1,0101000020E6100000105839B4C8304DC0742497FF904E41C0,,,"Departamento zona Monserrat, cerca de todo",Apartment,ARS,nightly
19,20803185,149157375,Private room,,,,"Piñeiro, Buenos Aires, Argentina",1,,1,1.0,1.0,182.0,0,,2018-02-08T16:52:39Z,-34.67659,-58.392002,1,0101000020E6100000B9FB1C1F2D324DC07B6649809A5641C0,,,Xanadu,House,ARS,nightly
20,9313983,48344654,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1,,1,1.0,1.0,162.0,0,,2018-02-08T16:52:39Z,-34.529853,-58.495972,1,0101000020E6100000A9DDAF027C3F4DC000581D39D24341C0,,,Alquiler habitación Vicente Lopez,Apartment,ARS,nightly
21,18782977,130721844,Private room,,,,"Buenos Aires, Buenos Aires, Argentina",0,,1,1.0,1.0,182.0,0,,2018-02-08T16:52:39Z,-34.618208,-58.372458,1,0101000020E6100000199128B4AC2F4DC013109370214F41C0,,,Habitacion privada en San Telmo en calle Defensa,Apartment,ARS,nightly
22,6723565,35207581,Private room,,,,"Barracas, Buenos Aires, Argentina",0,,1,1.0,2.0,182.0,0,,2018-02-08T16:52:39Z,-34.626811,-58.373654,1,0101000020E61000008202EFE4D32F4DC0F3E2C4573B5041C0,,,Casa compartida- San Telmo,House,ARS,nightly
23,11056486,51518680,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,2.0,162.0,0,,2018-02-08T16:52:39Z,-34.616411,-58.41894,1,0101000020E61000003D7E6FD39F354DC084F23E8EE64E41C0,,,HABITACIÓN AMOBLADA CHICA,House,ARS,nightly
24,18304250,41462010,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",15,5.0,1,1.0,1.0,283.0,0,,2018-02-08T17:32:25Z,-34.584188,-58.428331,1,0101000020E6100000766EDA8CD3364DC09A5B21ACC64A41C0,,,Palermo Mágico - Habitación Privada,House,ARS,nightly
25,22803385,168511344,Private room,,,,"Palermo, Buenos Aires, Argentina",0,,1,1.0,2.0,262.0,0,,2018-02-08T17:32:25Z,-34.583759,-58.413852,1,0101000020E61000002DB1321AF9344DC072DF6A9DB84A41C0,,,La casa de Elena,Apartment,ARS,nightly
26,10075621,21135309,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,2,1.0,1.0,202.0,0,,2018-02-08T17:16:14Z,-34.641634,-58.480919,1,0101000020E61000003483F8C08E3D4DC037001B10215241C0,,,"Furnished room, NO curfew.",Apartment,ARS,nightly
27,22272889,162764612,Private room,,,,"Villa Santa Rita, Buenos Aires, Argentina",0,,1,1.0,2.0,202.0,0,,2018-02-08T16:55:55Z,-34.622333,-58.479671,1,0101000020E610000079EBFCDB653D4DC05C1C959BA84F41C0,,,CASA CONFORTABLE CERCA DE AVENIDAS,Guest suite,ARS,nightly
28,11282219,58931179,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,1.5,202.0,0,,2018-02-08T17:16:14Z,-34.637699,-58.463313,1,0101000020E6100000E46723D74D3B4DC090D8EE1EA05141C0,,,"Casa espaciosa, luminosa, hermosa.",House,ARS,nightly
29,17136560,103033955,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,2,1.0,2.0,303.0,0,,2018-02-08T17:32:25Z,-34.585656,-58.414703,1,0101000020E6100000CC46E7FC14354DC0645A9BC6F64A41C0,,,Alquilo habitación en el barrio de Palermo,Apartment,ARS,nightly
30,21478142,130829393,Private room,,,,"Monserrat, Buenos Aires, Argentina",11,5.0,1,1.0,1.0,202.0,0,,2018-02-08T16:55:56Z,-34.61655,-58.383812,1,0101000020E6100000FBE769C020314DC0A52C431CEB4E41C0,,,-Excelente  habitación a metros de av. 9 de Julio,Apartment,ARS,nightly
31,2116899,1005885,Private room,,,,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",132,4.5,1,1.0,1.0,303.0,0,,2018-02-08T17:16:17Z,-34.619263,-58.388635,1,0101000020E61000005D8AABCABE314DC0B94F8E02444F41C0,,,Tiny private room in BA,Apartment,ARS,nightly
32,19481110,136716717,Private room,,,,"Colegiales, Buenos Aires, Argentina",1,,1,1.0,1.0,202.0,0,,2018-02-08T16:55:56Z,-34.568601,-58.453169,1,0101000020E6100000D0471971013A4DC088BCE5EAC74841C0,,,very comfortable and friendly place near subway,Dorm,ARS,nightly
33,19121867,64818384,Private room,,,,"Palermo, Buenos Aires, Argentina",11,5.0,1,1.0,2.0,303.0,0,,2018-02-08T17:32:25Z,-34.581928,-58.420644,1,0101000020E61000001BA19FA9D7354DC03750E09D7C4A41C0,,,"Habitación privada en Palermo, Plaza Italia",Apartment,ARS,nightly
34,13495833,77367851,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,2,1.0,1.0,202.0,0,,2018-02-08T17:12:57Z,-34.632537,-58.422587,1,0101000020E61000007D5BB05417364DC04641F0F8F65041C0,,,"Depto Boedo, Capital Federal, BsAs, 20 min centro",Apartment,ARS,nightly
35,19265694,49535824,Private room,,,,"San Cristobal, Buenos Aires, Argentina",3,5.0,1,1.0,1.0,202.0,0,,2018-02-08T16:55:57Z,-34.622979,-58.394863,1,0101000020E610000042B3EBDE8A324DC0228C9FC6BD4F41C0,,,"Departamento en San Cristobal, Buenos Aires",In-law,ARS,nightly
36,19113199,114199990,Private room,,,,"Buenos Aires, Buenos Aires, Argentina",0,,1,1.0,2.0,202.0,0,,2018-02-08T17:10:00Z,-34.597375,-58.482314,1,0101000020E610000094331477BC3D4DC05839B4C8764C41C0,,,Casa frente al Parque Agronomia,House,ARS,nightly
37,11060318,51518680,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",3,4.5,1,1.0,2.0,202.0,0,,2018-02-08T17:12:57Z,-34.618505,-58.419584,1,0101000020E610000062F6B2EDB4354DC0CCB4FD2B2B4F41C0,,,AMPLIA HABITACIÓN INDIVIDUAL AMOBLADA,House,ARS,nightly
